Symbol_Code,Group,Industries_Group,Table,En_Symbol,EN_name,Code,Name,Symbol
IRO1FIBR0001,N2,محصولات چوبي,فهرست اوليه,FIBR1,Iran Board,64358061873294912,فيبر ايران‌,چفيبر
IRO1BPRS0001,N2,محصولات كاغذي,فهرست اوليه,BPRS1,Pars Packing,68102953053087817,بسته‌ بندي‌ پارس‌,چبسپا
IRO1TAYD0001,N1,حمل ونقل، انبارداري و ارتباطات,تابلو اصلي,TAYD1,Tidewater,3722699128879020,تايدواترخاورميانه,حتايد
IRR1KSHJ0101,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,KSHX1,IRI Marine Co.-R,14364842601603807,ح . كشتيراني ج. ا. ا,حكشتيح
IRO1HJPT0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HJPT1,Petr. Tran.,16369313804633525,حمل و نقل پتروشيمي( سهامي عام,حپترو
IRO1HTOK0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HTOK1,Tuka Trans.,22260326095996531,حمل‌ونقل‌توكا,حتوكا
IRR1HJPT0101,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HJPX1,Petr. Tran.-R,25129304172501430,ح . حمل و نقل پتروشيمي,حپتروح
IRO1HSHM0001,N1,استخراج نفت گاز و خدمات جنبي جز اکتشاف,تابلو اصلي,HSHM1,S*North Drilling,28809886765682162,حفاري شمال,حفاري
IRO1HFRS0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HFRS1,Khalij Fars Trans,35424116338766901,حمل و نقل بين المللي خليج فارس,حفارس
IRR1HTOK0101,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HTOX1,Tuka Trans.-R,42892937789646488,ح . حمل‌ونقل‌توكا,حتوكاح
IRR1HSHM0101,N1,استخراج نفت گاز و خدمات جنبي جز اکتشاف,تابلو اصلي,HSHX1,North Drilling-R,43667708360002073,ح . حفاري شمال,حفاريح
IRO1KSHJ0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,KSHJ1,S*IRI Marine Co.,60610861509165508,كشتيراني جمهوري اسلامي ايران,حكشتي
IRO1KFJR0001,N1,حمل و نقل آبي,تابلو فرعي,KFJR1,IRI Marine Co.,60968111020776674,كشتيراني والفجر,حفجر
IRR1TAYD0101,N1,حمل ونقل، انبارداري و ارتباطات,تابلو اصلي,TAYX1,Tidewater-R,66234625721697786,ح . تايدواترخاورميانه‌,حتايدح
IRR1AZIN0101,N2,خودرو و ساخت قطعات,فهرست اوليه,AZIX1,Saipa Azin-R,22129017544200,ح . سايپاآذين‌,خاذينح
IRR1SIPA0101,N2,خودرو و ساخت قطعات,فهرست اوليه,SIPX1,Saipa-R,590761101519570,ح . سايپا,خساپاح
IRR1KAVR0101,N2,خودرو و ساخت قطعات,فهرست اوليه,KAVX1,Iran Khodro D.-R,726401865204843,ح . ايران‌ خودروديزل‌,خاورح
IRR1INDM0101,N2,خودرو و ساخت قطعات,فهرست اوليه,INDX1,Indamin-R,1852132120586484,ح . كمك‌فنرايندامين‌,خكمكح
IRR1RADI0101,N2,خودرو و ساخت قطعات,فهرست اوليه,RADX1,Iran Radiator-R,2262715289665960,ح . رادياتور ايران‌,ختورح
IRO1ZMYD0001,N2,خودرو و ساخت قطعات,فهرست اوليه,ZMYD1,Zamyad,2589887561569709,زامياد,خزاميا
IRO1SZPO0001,N2,خودرو و ساخت قطعات,فهرست اوليه,SZPO1,Sazeh Pouyesh,4758266259250794,سازه‌ پويش‌,خپويش
IRR1SZPO0101,N2,خودرو و ساخت قطعات,فهرست اوليه,SZPX1,Sazeh Pouyesh-R,6803271730717705,ح . سازه‌ پويش‌,خپويشح
IRO1TMKH0001,N1,خودرو و ساخت قطعات,تابلو فرعي,TMKH1,VAMCO,7457232989848872,توليدمحورخودرو,خمحور
IRO1ATIR0001,N1,خودرو و ساخت قطعات,تابلو فرعي,ATIR1,Iran Tractor F.,7483280423474368,آهنگري‌ تراكتورسازي‌ ايران‌,خاهن
IRR1IKCO0101,N2,خودرو و ساخت قطعات,فهرست اوليه,IKCX1,Iran Khodro-R,12088545433107773,ح . ايران‌ خودرو,خودروح
IRO1RIIR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RIIR1,Iran Casting,12752224677923341,صنايع‌ريخته‌گري‌ايران‌,خريخت
IRR1BHMN0101,N1,خودرو و ساخت قطعات,تابلو اصلي,BHMX1,Bahman Group-R,12964716133621704,ح . گروه‌بهمن‌,خبهمنح
IRR1MNSR0101,N2,خودرو و ساخت قطعات,فهرست اوليه,MNSX1,Nasir Machine-R,13010835010902276,ح . مهندسي‌نصيرماشين‌,خنصيرح
IRR1CHAR0101,N1,خودرو و ساخت قطعات,تابلو فرعي,CHAX1,Charkheshgar-R,14865390259501860,ح . چرخشگر,خچرخشح
IRO1LENT0001,N2,خودرو و ساخت قطعات,فهرست اوليه,LENT1,Iran Brake L.,14957056743925737,لنت‌ ترمزايران‌,خلنت
IRR1SDRA0101,N2,پيمانكاري صنعتي,فهرست اوليه,SDRX1,SADRA-R,17184779097179305,حذف-ح . صنعتي‌ دريايي‌ ايران‌,خصدراح
IRR1GOST0101,N1,خودرو و ساخت قطعات,تابلو اصلي,GOSX1,Iran Kh. Inv.-R,17237314339763699,ح . سرمايه‌گذاري‌ايران‌خودرو,خگسترح
IRO1MHKM0001,N2,خودرو و ساخت قطعات,فهرست اوليه,MHKM1,Mehrcam Pars,17330546482145553,مهركام‌پارس‌,خمهر
IRO1MNSR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,MNSR1,Nasir Machine,17834623106317041,مهندسي‌نصيرماشين‌,خنصير
IRO1INDM0001,N2,خودرو و ساخت قطعات,فهرست اوليه,INDM1,Indamin,19257295292088310,كمك‌فنرايندامين‌,خكمك
IRO1RTIR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RTIR1,I. T. Foundry,22903901709044823,ريخته‌گري‌ تراكتورسازي‌ ايران‌,ختراك
IRR1MESI0101,N2,خودرو و ساخت قطعات,فهرست اوليه,MESX1,Iran Kh. A. M.-R,23552683239901730,ح . محورسازان‌ايران‌خودرو,خوسازح
IRR1FNAR0101,N2,خودرو و ساخت قطعات,فهرست اوليه,FNAX1,Zar Spring-R,24734871905109354,ح . فنرسازي‌زر,خزرح
IRO1SDRA0001,N2,پيمانكاري صنعتي,فهرست اوليه,SDRA1,SADRA,25165947991415904,حذف-صنعتي‌ دريايي‌ ايران‌,خصدرا
IRR1PKOD0101,N2,خودرو و ساخت قطعات,فهرست اوليه,PKOX1,Pars Khodro-R,25449662823397465,ح . پارس‌ خودرو,خپارسح
IRR1RINM0101,N2,خودرو و ساخت قطعات,فهرست اوليه,RINX1,Mashad Wheel-R,26142199530487668,ح . رينگ‌سازي‌مشهد,خرينگح
IRO1BHMN0001,N1,خودرو و ساخت قطعات,تابلو اصلي,BHMN1,Bahman Group,26824673819862694,گروه‌بهمن‌,خبهمن
IRO1KFAN0001,N2,خودرو و ساخت قطعات,فهرست اوليه,KFAN1,Khavar Spring,28033133021443774,فنرسازي‌خاور,خفنر
IRR1ATIR0101,N1,خودرو و ساخت قطعات,تابلو فرعي,ATIX1,Iran Tractor F.-R,29716513021318095,ح . آهنگري تراكتورسازي‌ ايران‌,خاهنح
IRO1MESI0001,N2,خودرو و ساخت قطعات,فهرست اوليه,MESI1,Iran Kh. A. M.,31879190587976736,محورسازان‌ايران‌خودرو,خوساز
IRO1FNAR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,FNAR1,Zar Spring,32821908911812078,فنرسازي‌زر,خزر
IRO1CHAR0001,N1,خودرو و ساخت قطعات,تابلو فرعي,CHAR1,Charkheshgar,33783140337377394,چرخشگر,خچرخش
IRR1LENT0101,N2,خودرو و ساخت قطعات,فهرست اوليه,LENX1,Iran Brake L.-R,36110870923892956,ح . لنت‌ ترمزايران‌,خلنتح
IRR1KHSH0101,N2,خودرو و ساخت قطعات,فهرست اوليه,KHSX1,E. Kh. Shargh-R,36675444072965904,ح . الكتريك‌ خودرو شرق‌,خشرقح
IRR1NMOH0101,N1,خودرو و ساخت قطعات,تابلو فرعي,NMOX1,Nirou Moharreke-R,37350268082014292,ح . نيرو محركه‌,خمحركهح
IRR1ZMYD0101,N2,خودرو و ساخت قطعات,فهرست اوليه,ZMYX1,Zamyad-R,38005238879860126,ح . زامياد,خزامياح
IRO1NMOH0001,N1,خودرو و ساخت قطعات,تابلو فرعي,NMOH1,Nirou Moharreke,39436183727126211,نيرو محركه‌,خمحركه
IRR1RTIR0101,N2,خودرو و ساخت قطعات,تابلو فرعي,RTIX1,I. T. Foundry-R,41858326436945277,ح . ريخته‌گري‌ تراكتورسازي‌,ختراكح
IRO1AZIN0001,N2,خودرو و ساخت قطعات,فهرست اوليه,AZIN1,Saipa Azin,42075223783409640,سايپاآذين‌,خاذين
IRO1PKOD0001,N2,خودرو و ساخت قطعات,فهرست اوليه,PKOD1,S*Pars Khodro,42354736493447489,پارس‌ خودرو,خپارس
IRO1KRSN0001,N2,محصولات شيميايي,فهرست اوليه,KRSN1,Khorasan Petro.,43552974795606067,پتروشيمي خراسان,خراسان
IRR1KRIR0101,N1,خودرو و ساخت قطعات,تابلو فرعي,KRIX1,Irka Part -R,44678870441030319,ح.ايركا پارت صنعت,خكارح
IRO1RINM0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RINM1,Mashad Wheel,45895339414786358,رينگ‌سازي‌مشهد,خرينگ
IRR1SPDZ0101,N2,خودرو و ساخت قطعات,فهرست اوليه,SPDX1,Saipa Diesel-R,46052543236360331,ح . سايپا ديزل‌,خكاوهح
IRO1GOST0001,N1,خودرو و ساخت قطعات,تابلو اصلي,GOST1,Iran Kh. Inv.,48990026850202503,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,خگستر
IRO1RADI0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RADI1,Iran Radiator,50185721305191887,رادياتور ايران‌,ختور
IRR1MHKM0101,N2,خودرو و ساخت قطعات,فهرست اوليه,MHKX1,Mehrcam Pars-R,50722377181482963,ح . مهركام‌پارس‌,خمهرح
IRO1SPDZ0001,N2,خودرو و ساخت قطعات,فهرست اوليه,SPDZ1,Saipa Diesel,51922189364308501,سايپا ديزل‌,خكاوه
IRR1GHAT0101,N1,خودرو و ساخت قطعات,تابلو فرعي,GHAX1,Iran Auto-Parts-R,56449205771773651,ح . قطعات‌ اتومبيل‌ ايران‌,ختوقاح
IRO1MSTI0001,N1,خودرو و ساخت قطعات,تابلو فرعي,MSTI1,Motorsazan,57273529732791251,موتورسازان‌تراكتورسازي‌ايران‌,خموتور
IRO1KRIR0001,N1,خودرو و ساخت قطعات,تابلو فرعي,KRIR1,Irka Part,59217041815333317,ايركا پارت صنعت,خكار
IRR1KFAN0101,N2,خودرو و ساخت قطعات,فهرست اوليه,KFAX1,Khavar Spring-R,61581369333689993,ح . فنرسازي‌خاور,خفنرح
IRR1MSTI0101,N1,خودرو و ساخت قطعات,تابلو فرعي,MSTX1,Motorsazan-R,62221150547292335,ح . موتورسازان‌تراكتورسازي‌,خموتورح
IRO1KHSH0001,N2,خودرو و ساخت قطعات,فهرست اوليه,KHSH1,E. Kh. Shargh,63915926161403347,الكتريك‌ خودرو شرق‌,خشرق
